"altitude";"co_a";"co_w";"pt";"gps_fix";"heading";"humidity";"latitude";"lonet_bat";"longitude";"no2_a";"no2_w";"pm1";"pm10";"pm2_5";"w_pm1";"w_pm10";"w_pm2_5";"sample_flow_rate";"sampling_period";"speed";"temp";"date";"retries";"last_organicity_sync";"timestamp";"id";"m_co";"m_no2"
0;271.6;233.7;0;0;0;18.1;0;0;0;332.8;270;14.257;17.443;17.338;9;14;13;3.922;63.044;0;28.9;19800106010730;0;"";"2017-02-09 22:15:30.485326+00";25;520.58612;526.22711
0;267.5;203.9;0;0;0;18.8;0;0;0;322.3;265.9;13.579;16.89;16.804;6;10;9;3.623;64.864;0;28.5;19800106011419;0;"";"2017-02-09 22:15:22.392608+00";24;626.95978;626.15393
0;278;196.6;0;0;0;16.2;0;0;0;287.7;2386.2;16.617;20.231;20.155;28;41;37;3.288;64.861;0;34.6;19800106012358;0;"";"2017-02-09 22:15:01.828378+00";26;618.90118;614.87183
0;271.6;236.1;0;0;0;18;0;0;0;334.4;266.7;14.026;17.116;17.038;9;14;13;3.949;63.044;0;29.2;19800106010627;0;"";"2017-02-09 22:14:27.533107+00";25;531.06232;520.58612
0;265.9;201.5;0;0;0;18.8;0;0;0;319.1;263.5;13.099;16.365;16.278;6;10;9;3.728;64.865;0;28.6;19800106011314;0;"";"2017-02-09 22:14:17.419137+00";24;629.37738;627.76562
0;270.8;194.2;0;0;0;16.1;0;0;0;290.1;2386.2;16.335;19.817;19.736;31;46;41;3.361;64.856;0;34.6;19800106012253;0;"";"2017-02-09 22:13:56.910591+00";26;620.51288;613.26007
0;274.8;238.5;0;0;0;18;0;0;0;334.4;271.6;14.543;17.848;17.766;8;12;11;3.8;63.04;0;29.3;19800106010523;0;"";"2017-02-09 22:13:24.719018+00";25;530.25641;531.06232
0;267.5;200.7;0;0;0;18.7;0;0;0;323.2;263.5;13.344;16.486;16.411;6;10;9;3.756;64.859;0;28.7;19800106011209;0;"";"2017-02-09 22:13:12.248554+00";24;629.37738;625.34802
0;271.6;195.8;0;0;0;16;0;0;0;294.1;2387.8;16.171;19.863;19.735;27;40;36;3.359;64.865;0;34.7;19800106012148;0;"";"2017-02-09 22:12:52.877812+00";26;620.51288;633.40668
0;275.6;238.5;0;0;0;17.9;0;0;0;332.8;267.5;14.245;17.499;17.4;9;13;12;3.905;65.08;0;29.5;19800106010420;0;"";"2017-02-09 22:12:20.679921+00";25;521.39197;522.19781
0;267.5;203.1;0;0;0;18.7;0;0;0;324;264.3;13.155;16.37;16.283;7;11;10;3.813;64.864;0;28.7;19800106011104;0;"";"2017-02-09 22:12:09.380088+00";24;630.18323;630.18323
0;270.8;197.4;0;0;0;16;0;0;0;295.8;2378.1;16.525;20.287;20.201;24;36;32;3.354;64.858;0;34.6;19800106012043;0;"";"2017-02-09 22:11:46.688768+00";26;621.31873;623.73633
0;271.6;235.3;0;0;0;17.9;0;0;0;336;270.8;15.056;18.485;18.395;9;13;12;3.719;65.074;0;29.5;19800106010315;0;"";"2017-02-09 22:11:15.375724+00";25;538.31506;536.70331
0;268.4;203.9;0;0;0;18.7;0;0;0;326.4;265.1;13.358;16.668;16.59;8;12;11;3.735;64.87;0;28.7;19800106010959;0;"";"2017-02-09 22:11:02.224772+00";24;629.37738;626.95978
0;270.8;192.6;0;0;0;16.1;0;0;0;298.2;2382.9;16.607;20.239;20.163;27;40;36;3.345;64.854;0;34.6;19800106011938;0;"";"2017-02-09 22:10:41.562936+00";26;625.34802;626.95978
0;275.6;238.5;0;0;0;17.9;0;0;0;334.4;270.8;15.562;19.075;18.984;9;13;12;3.558;65.075;0;29.6;19800106010210;0;"";"2017-02-09 22:10:10.169843+00";25;527.83887;526.22711
0;266.7;203.1;0;0;0;18.7;0;0;0;326.4;262.7;13.609;17.051;16.909;6;9;8;3.77;64.861;0;28.8;19800106010853;0;"";"2017-02-09 22:09:57.090879+00";24;629.37738;628.57147
0;271.6;192.6;0;0;0;16.1;0;0;0;289.3;2387;16.481;20.17;20.056;30;45;40;3.327;64.86;0;34.6;19800106011832;0;"";"2017-02-09 22:09:36.681601+00";26;623.73633;622.93048
0;272.4;234.5;0;0;0;17.8;0;0;0;336;270;16.176;19.724;19.641;9;14;13;3.592;65.074;0;29.6;19800106010104;0;"";"2017-02-09 22:09:04.934712+00";25;535.09161;535.09161
0;267.5;206.3;0;0;0;18.7;0;0;0;327.2;265.9;14.031;18.033;17.442;6;9;8;3.653;64.858;0;28.9;19800106010748;0;"";"2017-02-09 22:08:52.036925+00";24;629.37738;628.57147
0;276.4;195.8;0;0;0;16.2;0;0;0;300.6;2378.1;17.108;20.866;20.767;27;40;36;3.292;64.867;0;34.6;19800106011727;0;"";"2017-02-09 22:08:31.600468+00";26;639.85352;627.76562
